model,exercise,target,condition,metric,value
ssm,deadlift,00000,unseen,macro_f1,0.0
ssm,deadlift,00000,unseen,micro_f1,0.0
ssm,deadlift,00010,seen,bit_accuracy,0.7799999999999999
ssm,deadlift,00010,seen,exact_match,0.3
ssm,deadlift,00010,seen,macro_f1,0.20000000000000004
ssm,deadlift,00010,seen,micro_f1,0.6714285714285714
ssm,deadlift,00010,unseen,bit_accuracy,0.45
ssm,deadlift,00010,unseen,exact_match,0.0
ssm,deadlift,00010,unseen,macro_f1,0.0
ssm,deadlift,00010,unseen,micro_f1,0.0
ssm,deadlift,00100,seen,bit_accuracy,0.648888888888889
ssm,deadlift,00100,seen,exact_match,0.1111111111111111
ssm,deadlift,00100,seen,macro_f1,0.10000000000000002
ssm,deadlift,00100,seen,micro_f1,0.2804232804232804
ssm,deadlift,00100,unseen,bit_accuracy,0.39999999999999997
ssm,deadlift,00100,unseen,exact_match,0.0
ssm,deadlift,00100,unseen,macro_f1,0.0
ssm,deadlift,00100,unseen,micro_f1,0.0
ssm,deadlift,00110,seen,bit_accuracy,0.8755555555555556
ssm,deadlift,00110,seen,exact_match,0.5111111111111111
ssm,deadlift,00110,seen,macro_f1,0.3925925925925926
ssm,deadlift,00110,seen,micro_f1,0.8690476190476191
ssm,deadlift,00110,unseen,bit_accuracy,0.7044444444444444
ssm,deadlift,00110,unseen,exact_match,0.0
ssm,deadlift,00110,unseen,macro_f1,0.3
ssm,deadlift,00110,unseen,micro_f1,0.6498316498316498
ssm,deadlift,11110,seen,bit_accuracy,0.49000000000000005
ssm,deadlift,11110,seen,exact_match,0.0
ssm,deadlift,11110,seen,macro_f1,0.3359259259259259
ssm,deadlift,11110,seen,micro_f1,0.5267080745341616
ssm,deadlift,11110,unseen,bit_accuracy,0.25333333333333335
ssm,deadlift,11110,unseen,exact_match,0.0
ssm,deadlift,11110,unseen,macro_f1,0.07619047619047618
ssm,deadlift,11110,unseen,micro_f1,0.1111111111111111
ssm,squat,000000,seen,bit_accuracy,0.7148148148148148
ssm,squat,000000,seen,exact_match,0.13333333333333333
ssm,squat,000000,seen,macro_f1,0.0
ssm,squat,000000,seen,micro_f1,0.0
ssm,squat,000000,unseen,bit_accuracy,0.6037037037037037
ssm,squat,000000,unseen,exact_match,0.0
ssm,squat,000000,unseen,macro_f1,0.0
ssm,squat,000000,unseen,micro_f1,0.0
ssm,squat,000001,seen,bit_accuracy,0.7555555555555555
ssm,squat,000001,seen,exact_match,0.06666666666666667
ssm,squat,000001,seen,macro_f1,0.16049382716049382
ssm,squat,000001,seen,micro_f1,0.5642701525054467
ssm,squat,000001,unseen,bit_accuracy,0.5555555555555555
ssm,squat,000001,unseen,exact_match,0.0
ssm,squat,000001,unseen,macro_f1,0.16666666666666666
ssm,squat,000001,unseen,micro_f1,0.4452798663324979
ssm,squat,000101,seen,bit_accuracy,0.8481481481481481
ssm,squat,000101,seen,exact_match,0.3333333333333333
ssm,squat,000101,seen,macro_f1,0.3132716049382716
ssm,squat,000101,seen,micro_f1,0.8082137161084529
ssm,squat,000101,unseen,bit_accuracy,0.7962962962962963
ssm,squat,000101,unseen,exact_match,0.06666666666666667
ssm,squat,000101,unseen,macro_f1,0.29563492063492064
ssm,squat,000101,unseen,micro_f1,0.7352941176470589
ssm,squat,010101,seen,bit_accuracy,0.9055555555555556
ssm,squat,010101,seen,exact_match,0.5
ssm,squat,010101,seen,macro_f1,0.4561287477954145
ssm,squat,010101,seen,micro_f1,0.8910256410256411
ssm,squat,010101,unseen,bit_accuracy,0.6425925925925926
ssm,squat,010101,unseen,exact_match,0.1111111111111111
ssm,squat,010101,unseen,macro_f1,0.28174603174603174
ssm,squat,010101,unseen,micro_f1,0.5463405989721779
ssm,squat,100001,seen,bit_accuracy,0.888888888888889
ssm,squat,100001,seen,exact_match,0.5333333333333333
ssm,squat,100001,seen,macro_f1,0.3209876543209877
ssm,squat,100001,seen,micro_f1,0.8588197767145136
ssm,squat,100001,unseen,bit_accuracy,0.7111111111111111
ssm,squat,100001,unseen,exact_match,0.13333333333333333
ssm,squat,100001,unseen,macro_f1,0.25308641975308643
ssm,squat,100001,unseen,micro_f1,0.5841013824884792
ssm,squat,100101,seen,bit_accuracy,0.9111111111111111
ssm,squat,100101,seen,exact_match,0.5499999999999999
ssm,squat,100101,seen,macro_f1,0.438668430335097
ssm,squat,100101,seen,micro_f1,0.8980295566502464
ssm,squat,100101,unseen,bit_accuracy,0.75
ssm,squat,100101,unseen,exact_match,0.08333333333333333
ssm,squat,100101,unseen,macro_f1,0.32292768959435625
ssm,squat,100101,unseen,micro_f1,0.7008547008547009
ssm,squat,101001,seen,bit_accuracy,0.8333333333333334
ssm,squat,101001,seen,exact_match,0.39999999999999997
ssm,squat,101001,seen,macro_f1,0.3820546737213404
ssm,squat,101001,seen,micro_f1,0.78743961352657
ssm,squat,101001,unseen,bit_accuracy,0.7000000000000001
ssm,squat,101001,unseen,exact_match,0.06666666666666667
ssm,squat,101001,unseen,macro_f1,0.32032627865961194
ssm,squat,101001,unseen,micro_f1,0.6567924828794394
tcn,deadlift,00000,seen,bit_accuracy,0.7066666666666667
tcn,deadlift,00000,seen,exact_match,0.26666666666666666
tcn,deadlift,00000,seen,macro_f1,0.0
tcn,deadlift,00000,seen,micro_f1,0.0
tcn,deadlift,00000,unseen,bit_accuracy,0.28
tcn,deadlift,00000,unseen,exact_match,0.0
tcn,deadlift,00000,unseen,macro_f1,0.0
tcn,deadlift,00000,unseen,micro_f1,0.0
tcn,deadlift,00010,seen,bit_accuracy,0.7333333333333334
tcn,deadlift,00010,seen,exact_match,0.08333333333333333
tcn,deadlift,00010,seen,macro_f1,0.17380952380952383
tcn,deadlift,00010,seen,micro_f1,0.5472222222222222
tcn,deadlift,00010,unseen,bit_accuracy,0.4633333333333334
tcn,deadlift,00010,unseen,exact_match,0.0
tcn,deadlift,00010,unseen,macro_f1,0.06666666666666667
tcn,deadlift,00010,unseen,micro_f1,0.13333333333333333
tcn,deadlift,00100,seen,bit_accuracy,0.5777777777777778
tcn,deadlift,00100,seen,exact_match,0.1111111111111111
tcn,deadlift,00100,seen,macro_f1,0.10000000000000002
tcn,deadlift,00100,seen,micro_f1,0.27777777777777773
