model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_frequency,target_cardinality,total_hamming1_support
fact,squat,010101,5,57.333333333333336,1.0,0.8888888888888888,5.0,35.0,184.0,0.1598173515981735,15.0,3.0,27.333333333333332
fact,squat,100001,0,57.333333333333336,1.0,0.6474358974358975,42.333333333333336,117.33333333333333,62.666666666666664,0.6518518518518518,52.0,2.0,93.0
fact,squat,100001,1,57.333333333333336,0.0,0.8205128205128206,0.0,37.333333333333336,142.66666666666666,0.2074074074074074,52.0,2.0,93.0
fact,squat,100001,2,57.333333333333336,0.0,0.6858974358974358,18.333333333333332,36.666666666666664,143.33333333333334,0.20370370370370372,52.0,2.0,93.0
fact,squat,100001,3,57.333333333333336,0.0,0.5705128205128205,29.666666666666668,89.0,91.0,0.49444444444444446,52.0,2.0,93.0
fact,squat,100001,4,57.333333333333336,0.0,0.8653846153846154,1.6666666666666667,10.0,170.0,0.05555555555555555,52.0,2.0,93.0
fact,squat,100001,5,57.333333333333336,1.0,0.8205128205128206,1.0,38.333333333333336,141.66666666666666,0.21296296296296294,52.0,2.0,93.0
fact,squat,100101,0,57.333333333333336,1.0,0.8148148148148149,17.0,120.33333333333333,78.66666666666667,0.6046901172529313,36.0,3.0,62.0
fact,squat,100101,1,57.333333333333336,0.0,0.6481481481481481,0.3333333333333333,36.666666666666664,162.33333333333334,0.1842546063651591,36.0,3.0,62.0
fact,squat,100101,2,57.333333333333336,0.0,0.6018518518518519,0.0,38.333333333333336,160.66666666666666,0.19262981574539365,36.0,3.0,62.0
fact,squat,100101,3,57.333333333333336,1.0,0.5925925925925926,44.666666666666664,145.66666666666666,53.333333333333336,0.7319932998324958,36.0,3.0,62.0
fact,squat,100101,4,57.333333333333336,0.0,0.9444444444444445,0.0,10.0,189.0,0.05025125628140704,36.0,3.0,62.0
fact,squat,100101,5,57.333333333333336,1.0,0.7962962962962963,0.0,34.0,165.0,0.1708542713567839,36.0,3.0,62.0
fact,squat,101001,0,57.333333333333336,1.0,0.8533333333333334,4.666666666666667,120.66666666666667,93.66666666666667,0.5630152865319134,25.0,3.0,48.0
fact,squat,101001,1,57.333333333333336,0.0,0.6133333333333334,0.0,39.333333333333336,175.0,0.18350358617691806,25.0,3.0,48.0
fact,squat,101001,2,57.333333333333336,1.0,0.19999999999999998,43.333333333333336,199.33333333333334,15.0,0.9300152140838948,25.0,3.0,48.0
fact,squat,101001,3,57.333333333333336,0.0,0.6933333333333334,0.0,90.66666666666667,123.66666666666667,0.42295877707744695,25.0,3.0,48.0
fact,squat,101001,4,57.333333333333336,0.0,0.9466666666666667,0.0,10.0,204.33333333333334,0.046656523944070126,25.0,3.0,48.0
fact,squat,101001,5,57.333333333333336,1.0,0.7866666666666666,0.0,36.333333333333336,178.0,0.16952836339926103,25.0,3.0,48.0
gru,deadlift,00000,0,57.333333333333336,0.0,0.6473429951690821,0.0,19.0,118.0,0.1386861313868613,69.0,0.0,60.0
gru,deadlift,00000,1,57.333333333333336,0.0,0.78743961352657,0.0,26.0,111.0,0.1897810218978102,69.0,0.0,60.0
