model,exercise,target,seed,condition,metric,value
gru,deadlift,11110,7,unseen,macro_f1,0.21333333333333332
gru,deadlift,11110,7,unseen,micro_f1,0.3157894736842105
gru,deadlift,11110,7,unseen,bit_accuracy,0.35
gru,deadlift,11110,7,unseen,exact_match,0.0
gru,squat,000000,123,seen,macro_f1,0.0
gru,squat,000000,123,seen,micro_f1,0.0
gru,squat,000000,123,seen,bit_accuracy,0.5
gru,squat,000000,123,seen,exact_match,0.0
gru,squat,000000,123,unseen,macro_f1,0.0
gru,squat,000000,123,unseen,micro_f1,0.0
gru,squat,000000,123,unseen,bit_accuracy,0.5555555555555556
gru,squat,000000,123,unseen,exact_match,0.0
gru,squat,000000,42,seen,macro_f1,0.0
gru,squat,000000,42,seen,micro_f1,0.0
gru,squat,000000,42,seen,bit_accuracy,0.7666666666666667
gru,squat,000000,42,seen,exact_match,0.0
gru,squat,000000,42,unseen,macro_f1,0.0
gru,squat,000000,42,unseen,micro_f1,0.0
gru,squat,000000,42,unseen,bit_accuracy,0.4666666666666667
gru,squat,000000,42,unseen,exact_match,0.0
gru,squat,000000,7,seen,macro_f1,0.0
gru,squat,000000,7,seen,micro_f1,0.0
gru,squat,000000,7,seen,bit_accuracy,0.7333333333333333
gru,squat,000000,7,seen,exact_match,0.0
gru,squat,000000,7,unseen,macro_f1,0.0
gru,squat,000000,7,unseen,micro_f1,0.0
gru,squat,000000,7,unseen,bit_accuracy,0.6333333333333333
gru,squat,000000,7,unseen,exact_match,0.0
gru,squat,000001,123,seen,macro_f1,0.16666666666666666
gru,squat,000001,123,seen,micro_f1,0.4
gru,squat,000001,123,seen,bit_accuracy,0.5
gru,squat,000001,123,seen,exact_match,0.0
gru,squat,000001,123,unseen,macro_f1,0.05555555555555555
gru,squat,000001,123,unseen,micro_f1,0.10526315789473684
gru,squat,000001,123,unseen,bit_accuracy,0.43333333333333335
gru,squat,000001,123,unseen,exact_match,0.0
gru,squat,000001,42,seen,macro_f1,0.125
gru,squat,000001,42,seen,micro_f1,0.2727272727272727
gru,squat,000001,42,seen,bit_accuracy,0.4666666666666667
gru,squat,000001,42,seen,exact_match,0.0
gru,squat,000001,42,unseen,macro_f1,0.125
gru,squat,000001,42,unseen,micro_f1,0.2608695652173913
gru,squat,000001,42,unseen,bit_accuracy,0.43333333333333335
gru,squat,000001,42,unseen,exact_match,0.0
gru,squat,000001,7,seen,macro_f1,0.16666666666666666
gru,squat,000001,7,seen,micro_f1,0.3333333333333333
gru,squat,000001,7,seen,bit_accuracy,0.3333333333333333
gru,squat,000001,7,seen,exact_match,0.0
gru,squat,000001,7,unseen,macro_f1,0.05555555555555555
gru,squat,000001,7,unseen,micro_f1,0.07692307692307693
gru,squat,000001,7,unseen,bit_accuracy,0.2
gru,squat,000001,7,unseen,exact_match,0.0
gru,squat,000101,123,seen,macro_f1,0.2916666666666667
gru,squat,000101,123,seen,micro_f1,0.8
gru,squat,000101,123,seen,bit_accuracy,0.8666666666666667
gru,squat,000101,123,seen,exact_match,0.2
gru,squat,000101,123,unseen,macro_f1,0.14814814814814814
gru,squat,000101,123,unseen,micro_f1,0.5
gru,squat,000101,123,unseen,bit_accuracy,0.7333333333333333
gru,squat,000101,123,unseen,exact_match,0.0
gru,squat,000101,42,seen,macro_f1,0.3148148148148148
gru,squat,000101,42,seen,micro_f1,0.782608695652174
gru,squat,000101,42,seen,bit_accuracy,0.8333333333333334
gru,squat,000101,42,seen,exact_match,0.4
gru,squat,000101,42,unseen,macro_f1,0.24338624338624337
gru,squat,000101,42,unseen,micro_f1,0.5714285714285714
gru,squat,000101,42,unseen,bit_accuracy,0.7
gru,squat,000101,42,unseen,exact_match,0.0
gru,squat,000101,7,seen,macro_f1,0.3333333333333333
gru,squat,000101,7,seen,micro_f1,0.8
gru,squat,000101,7,seen,bit_accuracy,0.8333333333333334
gru,squat,000101,7,seen,exact_match,0.0
gru,squat,000101,7,unseen,macro_f1,0.3
gru,squat,000101,7,unseen,micro_f1,0.7142857142857143
gru,squat,000101,7,unseen,bit_accuracy,0.7777777777777778
gru,squat,000101,7,unseen,exact_match,0.0
gru,squat,010101,123,seen,macro_f1,0.42857142857142855
gru,squat,010101,123,seen,micro_f1,0.8888888888888888
gru,squat,010101,123,seen,bit_accuracy,0.9
gru,squat,010101,123,seen,exact_match,0.4
gru,squat,010101,123,unseen,macro_f1,0.3148148148148148
gru,squat,010101,123,unseen,micro_f1,0.6428571428571429
gru,squat,010101,123,unseen,bit_accuracy,0.6666666666666666
gru,squat,010101,123,unseen,exact_match,0.0
gru,squat,010101,42,seen,macro_f1,0.4444444444444444
gru,squat,010101,42,seen,micro_f1,0.9090909090909091
gru,squat,010101,42,seen,bit_accuracy,0.9166666666666666
gru,squat,010101,42,seen,exact_match,0.5
gru,squat,010101,42,unseen,macro_f1,0.3333333333333333
gru,squat,010101,42,unseen,micro_f1,0.6666666666666666
gru,squat,010101,42,unseen,bit_accuracy,0.6666666666666666
gru,squat,010101,42,unseen,exact_match,0.0
gru,squat,010101,7,seen,macro_f1,0.5
gru,squat,010101,7,seen,micro_f1,1.0
gru,squat,010101,7,seen,bit_accuracy,1.0
gru,squat,010101,7,seen,exact_match,1.0
gru,squat,010101,7,unseen,macro_f1,0.3833333333333333
gru,squat,010101,7,unseen,micro_f1,0.7058823529411765
gru,squat,010101,7,unseen,bit_accuracy,0.7222222222222222
gru,squat,010101,7,unseen,exact_match,0.0
gru,squat,100001,123,seen,macro_f1,0.3333333333333333
gru,squat,100001,123,seen,micro_f1,0.9090909090909091
gru,squat,100001,123,seen,bit_accuracy,0.9333333333333333
gru,squat,100001,123,seen,exact_match,0.6
gru,squat,100001,123,unseen,macro_f1,0.2916666666666667
gru,squat,100001,123,unseen,micro_f1,0.7619047619047619
gru,squat,100001,123,unseen,bit_accuracy,0.8333333333333334
gru,squat,100001,123,unseen,exact_match,0.4
gru,squat,100001,42,seen,macro_f1,0.2222222222222222
gru,squat,100001,42,seen,micro_f1,0.75
gru,squat,100001,42,seen,bit_accuracy,0.8666666666666667
gru,squat,100001,42,seen,exact_match,0.2
gru,squat,100001,42,unseen,macro_f1,0.2037037037037037
gru,squat,100001,42,unseen,micro_f1,0.5
gru,squat,100001,42,unseen,bit_accuracy,0.6666666666666666
gru,squat,100001,42,unseen,exact_match,0.0
gru,squat,100001,7,seen,macro_f1,0.22023809523809523
gru,squat,100001,7,seen,micro_f1,0.45454545454545453
gru,squat,100001,7,seen,bit_accuracy,0.6
gru,squat,100001,7,seen,exact_match,0.0
gru,squat,100001,7,unseen,macro_f1,0.3333333333333333
gru,squat,100001,7,unseen,micro_f1,0.7692307692307693
gru,squat,100001,7,unseen,bit_accuracy,0.8
gru,squat,100001,7,unseen,exact_match,0.0
gru,squat,100101,123,seen,macro_f1,0.3
gru,squat,100101,123,seen,micro_f1,0.6666666666666666
gru,squat,100101,123,seen,bit_accuracy,0.75
gru,squat,100101,123,seen,exact_match,0.0
gru,squat,100101,123,unseen,macro_f1,0.20952380952380953
gru,squat,100101,123,unseen,micro_f1,0.5
gru,squat,100101,123,unseen,bit_accuracy,0.6666666666666666
gru,squat,100101,123,unseen,exact_match,0.0
