model,exercise,target,criterion,seed,target_bit,accuracy,lop,global_opposing_support,global_matching_support,global_opposing_rate,target_cardinality,total_hamming1_support,is_hand_criterion
gru,cpr,0000000001010,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,62.0,1.0
gru,cpr,0000000001010,3,57.333333333333336,0.0,0.8333333333333334,0.0,171.0,916.0,0.15731370745170192,2.0,62.0,0.0
gru,cpr,0000000001010,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,62.0,0.0
gru,cpr,0000000001010,5,57.333333333333336,0.0,0.8333333333333334,0.0,128.0,959.0,0.11775528978840848,2.0,62.0,0.0
gru,cpr,0000000001010,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,62.0,0.0
gru,cpr,0000000001010,7,57.333333333333336,0.0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,62.0,0.0
gru,cpr,0000000001010,8,57.333333333333336,0.0,0.6666666666666666,0.0,165.0,922.0,0.15179392824287027,2.0,62.0,0.0
gru,cpr,0000000001010,9,57.333333333333336,1.0,1.0,20.0,906.0,181.0,0.8334866605335787,2.0,62.0,0.0
gru,cpr,0000000001010,10,57.333333333333336,0.0,0.26666666666666666,0.0,122.0,965.0,0.11223551057957681,2.0,62.0,0.0
gru,cpr,0000000001010,11,57.333333333333336,1.0,0.4666666666666666,42.0,1008.0,79.0,0.9273229070837167,2.0,62.0,0.0
gru,cpr,0000000001010,12,57.333333333333336,0.0,0.8666666666666667,0.0,96.0,991.0,0.08831646734130634,2.0,62.0,0.0
gru,cpr,0000000001100,0,57.333333333333336,0.0,0.8333333333333334,0.0,185.0,902.0,0.1701931922723091,2.0,64.0,1.0
gru,cpr,0000000001100,1,57.333333333333336,0.0,0.9333333333333332,0.0,90.0,997.0,0.0827966881324747,2.0,64.0,1.0
gru,cpr,0000000001100,2,57.333333333333336,0.0,1.0,0.0,98.0,989.0,0.09015639374425023,2.0,64.0,1.0
gru,cpr,0000000001100,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,64.0,0.0
gru,cpr,0000000001100,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,64.0,0.0
gru,cpr,0000000001100,5,57.333333333333336,0.0,0.9333333333333332,0.0,128.0,959.0,0.11775528978840848,2.0,64.0,0.0
gru,cpr,0000000001100,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,64.0,0.0
gru,cpr,0000000001100,7,57.333333333333336,0.0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,64.0,0.0
gru,cpr,0000000001100,8,57.333333333333336,0.0,0.8333333333333334,0.0,165.0,922.0,0.15179392824287027,2.0,64.0,0.0
gru,cpr,0000000001100,9,57.333333333333336,1.0,0.7666666666666666,22.0,906.0,181.0,0.8334866605335787,2.0,64.0,0.0
gru,cpr,0000000001100,10,57.333333333333336,1.0,0.7000000000000001,42.0,977.0,110.0,0.8988040478380864,2.0,64.0,0.0
gru,cpr,0000000001100,11,57.333333333333336,0.0,0.39999999999999997,0.0,91.0,996.0,0.08371665133394664,2.0,64.0,0.0
gru,cpr,0000000001100,12,57.333333333333336,0.0,0.7666666666666666,0.0,96.0,991.0,0.08831646734130634,2.0,64.0,0.0
gru,cpr,0000000010000,0,57.333333333333336,0.0,0.75,12.0,214.0,875.0,0.19651056014692378,1.0,146.0,1.0
gru,cpr,0000000010000,1,57.333333333333336,0.0,0.6666666666666666,12.0,87.0,1002.0,0.07988980716253444,1.0,146.0,1.0
gru,cpr,0000000010000,2,57.333333333333336,0.0,0.9833333333333334,5.0,74.0,1015.0,0.06795224977043159,1.0,146.0,1.0
gru,cpr,0000000010000,3,57.333333333333336,0.0,0.9666666666666667,12.0,169.0,920.0,0.155188246097337,1.0,146.0,0.0
gru,cpr,0000000010000,4,57.333333333333336,0.0,1.0,12.0,155.0,934.0,0.1423324150596878,1.0,146.0,0.0
gru,cpr,0000000010000,5,57.333333333333336,0.0,1.0,12.0,176.0,913.0,0.16161616161616163,1.0,146.0,0.0
gru,cpr,0000000010000,6,57.333333333333336,0.0,1.0,10.0,158.0,931.0,0.14508723599632692,1.0,146.0,0.0
gru,cpr,0000000010000,7,57.333333333333336,0.0,1.0,12.0,154.0,935.0,0.1414141414141414,1.0,146.0,0.0
gru,cpr,0000000010000,8,57.333333333333336,1.0,0.65,42.0,953.0,136.0,0.8751147842056933,1.0,146.0,0.0
gru,cpr,0000000010000,9,57.333333333333336,0.0,0.6,10.0,181.0,908.0,0.16620752984389348,1.0,146.0,0.0
gru,cpr,0000000010000,10,57.333333333333336,0.0,0.6333333333333333,7.0,120.0,969.0,0.11019283746556474,1.0,146.0,0.0
gru,cpr,0000000010000,11,57.333333333333336,0.0,0.6666666666666666,0.0,97.0,992.0,0.08907254361799816,1.0,146.0,0.0
gru,cpr,0000000010000,12,57.333333333333336,0.0,0.5333333333333333,0.0,107.0,982.0,0.09825528007346189,1.0,146.0,0.0
gru,cpr,0000000010100,0,57.333333333333336,0.0,1.0,0.0,185.0,902.0,0.1701931922723091,2.0,64.0,1.0
gru,cpr,0000000010100,1,57.333333333333336,0.0,0.8666666666666667,0.0,90.0,997.0,0.0827966881324747,2.0,64.0,1.0
gru,cpr,0000000010100,2,57.333333333333336,0.0,0.6666666666666666,0.0,98.0,989.0,0.09015639374425023,2.0,64.0,1.0
gru,cpr,0000000010100,3,57.333333333333336,0.0,1.0,0.0,171.0,916.0,0.15731370745170192,2.0,64.0,0.0
gru,cpr,0000000010100,4,57.333333333333336,0.0,1.0,0.0,146.0,941.0,0.1343146274149034,2.0,64.0,0.0
gru,cpr,0000000010100,5,57.333333333333336,0.0,0.7000000000000001,0.0,128.0,959.0,0.11775528978840848,2.0,64.0,0.0
gru,cpr,0000000010100,6,57.333333333333336,0.0,1.0,0.0,143.0,944.0,0.13155473781048757,2.0,64.0,0.0
gru,cpr,0000000010100,7,57.333333333333336,0.0,1.0,0.0,164.0,923.0,0.15087396504139836,2.0,64.0,0.0
gru,cpr,0000000010100,8,57.333333333333336,1.0,0.8666666666666667,22.0,929.0,158.0,0.8546458141674332,2.0,64.0,0.0
