checkpoint,model,exercise,target,seed,criterion,criterion_name,target_bit,perturbation,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,4,Support knee bend 15-20° (0.5 point) L,0,zero,69,6,0,1.0,0.8056802153587341,-0.004861433524638414,0.007270500063896179,-0.012131933122873306,0.023870371282100677,0.07927847653627396,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s42.pt,fact,deadlift,00000,42,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,69,6,0,1.0,0.8056802153587341,0.18422473967075348,0.00426011998206377,0.17996461689472198,0.008377905935049057,0.05963180214166641,161
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,0,Balance (0.5 point) F,0,zero,69,12,0,0.6376811594202898,0.5531519651412964,-0.0844082236289978,0.006922184489667416,-0.09133040904998779,0.07403577119112015,0.0,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,0,Balance (0.5 point) F,0,temporal_mean,69,12,0,0.6376811594202898,0.5531519651412964,0.05537242442369461,0.02530098706483841,0.0300714373588562,0.01709810458123684,0.0,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,1,Straight back (0.5) L,0,zero,69,6,0,0.7391304347826086,0.6084150671958923,-0.09858299791812897,-0.001452170661650598,-0.09713082760572433,0.0839218944311142,0.023675700649619102,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,1,Straight back (0.5) L,0,temporal_mean,69,6,0,0.7391304347826086,0.6084150671958923,0.045596763491630554,0.010376925580203533,0.035219836980104446,0.016005348414182663,0.02420559525489807,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,2,Full back leg extended (0.5 point) L,0,zero,69,6,15,0.5217391304347826,0.5237973928451538,-0.08598098903894424,0.0005114226369187236,-0.08649241179227829,0.03405638411641121,0.07916827499866486,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,2,Full back leg extended (0.5 point) L,0,temporal_mean,69,6,15,0.5217391304347826,0.5237973928451538,0.0808471217751503,0.015891768038272858,0.06495535373687744,0.01925567351281643,0.08782126754522324,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,3,Slow reverse movement (0.5 point) L,0,zero,69,8,45,0.07246376811594203,0.3920569121837616,-0.09575819969177246,-0.013994433917105198,-0.08176376670598984,0.026908215135335922,0.07020818442106247,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,3,Slow reverse movement (0.5 point) L,0,temporal_mean,69,8,45,0.07246376811594203,0.3920569121837616,-0.044104933738708496,-0.011333323083817959,-0.03277160972356796,0.010666999965906143,0.09737806767225266,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,4,Support knee bend 15-20° (0.5 point) L,0,zero,69,6,0,0.9420289855072463,0.7783275842666626,-0.016072455793619156,-0.009558655321598053,-0.006513800472021103,0.026388540863990784,0.09201344847679138,196
results/context_evidence/v2/checkpoints\fact_deadlift_00000_s7.pt,fact,deadlift,00000,7,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,69,6,0,0.9420289855072463,0.7783275842666626,0.23346328735351562,0.016303323209285736,0.2171599566936493,0.0252840593457222,0.04747246950864792,196
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,0,Balance (0.5 point) F,0,zero,66,12,2,0.48484848484848486,0.4897523820400238,0.08820107579231262,0.007289516739547253,0.0809115618467331,0.015980152413249016,0.0,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,0,Balance (0.5 point) F,0,temporal_mean,66,12,2,0.48484848484848486,0.4897523820400238,0.049389611929655075,0.02446727827191353,0.024922333657741547,0.0116743054240942,0.0,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,1,Straight back (0.5) L,0,zero,66,6,6,0.6060606060606061,0.5817225575447083,-0.16372591257095337,-0.008467446081340313,-0.15525846183300018,0.08962465822696686,0.02367173135280609,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,1,Straight back (0.5) L,0,temporal_mean,66,6,6,0.6060606060606061,0.5817225575447083,0.11924974620342255,0.021224621683359146,0.0980251282453537,0.028965018689632416,0.033314745873212814,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,2,Full back leg extended (0.5 point) L,0,zero,66,6,30,0.19696969696969696,0.4479202628135681,-0.1268308460712433,-0.014043744653463364,-0.11278709769248962,0.019544798880815506,0.12147195637226105,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,2,Full back leg extended (0.5 point) L,0,temporal_mean,66,6,30,0.19696969696969696,0.4479202628135681,0.039718396961688995,0.009433501400053501,0.03028489649295807,0.01060444489121437,0.07525887340307236,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,3,Slow reverse movement (0.5 point) L,1,zero,66,8,47,0.5454545454545454,0.49512723088264465,0.2304316610097885,0.040968507528305054,0.18946315348148346,0.07869827002286911,0.11697553843259811,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,3,Slow reverse movement (0.5 point) L,1,temporal_mean,66,8,47,0.5454545454545454,0.49512723088264465,-0.12966015934944153,-0.03880799561738968,-0.09085216373205185,0.031970392912626266,0.06383108347654343,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,4,Support knee bend 15-20° (0.5 point) L,0,zero,66,6,0,0.8484848484848485,0.6065348982810974,-0.15873444080352783,-0.019121097400784492,-0.1396133452653885,0.05027967318892479,0.1131645143032074,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s123.pt,fact,deadlift,00010,123,4,Support knee bend 15-20° (0.5 point) L,0,temporal_mean,66,6,0,0.8484848484848485,0.6065348982810974,0.08887801319360733,0.016149016097187996,0.07272899895906448,0.021114179864525795,0.06382269412279129,241
results/context_evidence/v2/checkpoints\fact_deadlift_00010_s42.pt,fact,deadlift,00010,42,0,Balance (0.5 point) F,0,zero,66,12,2,0.696969696969697,0.5356717705726624,-0.03765946999192238,0.013303123414516449,-0.05096259340643883,0.04208917170763016,0.0,322
