model,perturbation,exercise,target,criterion,seed,target_bit,n_test,n_mapped_joints,context_pressure,baseline_accuracy,baseline_correct_confidence,mapped_confidence_drop,random_confidence_drop,relative_evidence_sensitivity,random_drop_sd,mapped_spillover,split_offset
fact,temporal_mean,deadlift,0,0,57.333333333333336,0.0,69.0,12.0,0.0,0.6666666666666666,0.5752356648445129,0.1077758173147837,0.05309141675631201,0.05468440055847163,0.025583917895952834,0.0,145.66666666666666
fact,temporal_mean,deadlift,0,1,57.333333333333336,0.0,69.0,6.0,0.0,0.7246376811594203,0.6075184543927511,0.08523855855067568,0.0172055875882506,0.06803297127286587,0.020041357104976936,0.020980548734466198,145.66666666666666
fact,temporal_mean,deadlift,0,2,57.333333333333336,0.0,69.0,6.0,15.0,0.46859903381642515,0.5057605703671774,0.032849597744643695,0.010830341217418465,0.022019256527225167,0.020411085958282102,0.0896057859063148,145.66666666666666
fact,temporal_mean,deadlift,0,3,57.333333333333336,0.0,69.0,8.0,45.0,0.0289855072463768,0.38866429527600604,-0.050450546046098034,-0.009552323647464266,-0.0408982218553622,0.0110981225346525,0.09600914766391112,145.66666666666666
fact,temporal_mean,deadlift,0,4,57.333333333333336,0.0,69.0,6.0,0.0,0.9565217391304349,0.7801403403282166,0.22149218122164402,0.017788148485124066,0.2037040293216705,0.025304801762103996,0.04764565577109653,145.66666666666666
fact,temporal_mean,deadlift,10,0,57.333333333333336,0.0,66.0,12.0,2.0,0.6464646464646465,0.5595186650753021,0.13632075116038317,0.0501970847447713,0.0861236676573753,0.02200241511066753,0.0,306.6666666666667
fact,temporal_mean,deadlift,10,1,57.333333333333336,0.0,66.0,6.0,6.0,0.6717171717171717,0.6044983665148417,0.13492089261611298,0.022584434909125137,0.11233645925919213,0.025254173825184467,0.0616420470178127,306.6666666666667
fact,temporal_mean,deadlift,10,2,57.333333333333336,0.0,66.0,6.0,30.0,0.21717171717171713,0.39881255229314166,0.0282183399734397,0.0183159600322445,0.009902380406856533,0.020644979551434434,0.10068854192892707,306.6666666666667
fact,temporal_mean,deadlift,10,3,57.333333333333336,1.0,66.0,8.0,47.0,0.5909090909090909,0.5220934847990671,-0.18676722546418503,-0.060251913964748334,-0.1265153090159098,0.040460051968693664,0.10061797251303987,306.6666666666667
fact,temporal_mean,deadlift,10,4,57.333333333333336,0.0,66.0,6.0,0.0,0.8181818181818182,0.6510635018348694,0.15819907685120901,0.024252289595703233,0.13394678508241967,0.033078251406550366,0.08408413579066588,306.6666666666667
fact,temporal_mean,deadlift,100,0,57.333333333333336,0.0,22.0,12.0,0.0,0.893939393939394,0.7315744558970133,0.12006236116091402,0.02397047542035573,0.09609188636144,0.018652205976347102,0.0,292.6666666666667
fact,temporal_mean,deadlift,100,1,57.333333333333336,0.0,22.0,6.0,0.0,0.712121212121212,0.6568580468495687,-0.05722147847215333,-0.014969704789109467,-0.04225177302335697,0.025209710622827165,0.06748778373003002,292.6666666666667
fact,temporal_mean,deadlift,100,2,57.333333333333336,1.0,22.0,6.0,54.0,0.5,0.5091079672177633,-0.1437432840466499,-0.0314594075704614,-0.11228387306133902,0.04984520499904943,0.10448260729511577,292.6666666666667
fact,temporal_mean,deadlift,100,3,57.333333333333336,0.0,22.0,8.0,33.0,0.19696969696969693,0.36343180139859516,-0.008121278136968632,0.0008743212868769663,-0.008995601286490768,0.03710582728187237,0.13021951417128239,292.6666666666667
fact,temporal_mean,deadlift,100,4,57.333333333333336,0.0,22.0,6.0,5.0,0.8484848484848485,0.7493532101313273,0.2303330525755882,0.026752320428689264,0.2035807371139526,0.03597199358046053,0.09910488997896506,292.6666666666667
fact,temporal_mean,deadlift,110,0,57.333333333333336,0.0,33.0,12.0,0.0,0.8181818181818182,0.7609227299690247,0.40561607480049133,0.09267660851279891,0.31293946504592896,0.08323288088043523,0.0,224.66666666666666
fact,temporal_mean,deadlift,110,1,57.333333333333336,0.0,33.0,6.0,7.0,0.787878787878788,0.757246216138204,0.07302288773159184,-0.01584185349444547,0.08886474122603728,0.04762304605295257,0.09502815206845598,224.66666666666666
fact,temporal_mean,deadlift,110,2,57.333333333333336,1.0,33.0,6.0,53.0,0.43434343434343425,0.426972637573878,0.2126039875050385,0.03602521431942777,0.176578772564729,0.08499497299393015,0.13796674460172653,224.66666666666666
fact,temporal_mean,deadlift,110,3,57.333333333333336,1.0,33.0,8.0,22.0,0.5252525252525252,0.5085286597410837,-0.04582493503888447,0.0032141705354054684,-0.04903910557428992,0.060803828140099804,0.14617867022752756,224.66666666666666
fact,temporal_mean,deadlift,110,4,57.333333333333336,0.0,33.0,6.0,9.0,0.797979797979798,0.7410606543223063,-0.09928138959609589,-0.0158873805776238,-0.08339400837818776,0.06365494119624293,0.157327356437842,224.66666666666666
fact,temporal_mean,deadlift,11110,0,57.333333333333336,1.0,10.0,12.0,1.0,0.09999999999999999,0.3187133371829986,-0.2675708085298538,-0.07858193169037496,-0.18898886938889814,0.056306491295496565,0.0,226.66666666666666
fact,temporal_mean,deadlift,11110,1,57.333333333333336,1.0,10.0,6.0,1.0,0.3333333333333333,0.32742856939633685,-0.16256469736496604,-0.008012511146565234,-0.15455218404531476,0.029316131025552666,0.05868196114897723,226.66666666666666
fact,temporal_mean,deadlift,11110,2,57.333333333333336,1.0,10.0,6.0,0.0,0.8333333333333334,0.6588046352068583,0.09572843089699745,0.002818808502828067,0.09290962480008601,0.05462828526894247,0.07627192636330916,226.66666666666666
fact,temporal_mean,deadlift,11110,3,57.333333333333336,1.0,10.0,8.0,0.0,0.3333333333333333,0.3936374733845393,-0.151920810341835,-0.05383780722816783,-0.0980830018719037,0.04741934314370153,0.10097422947486238,226.66666666666666
fact,temporal_mean,deadlift,11110,4,57.333333333333336,0.0,10.0,6.0,0.0,1.0,0.8322728077570597,-0.007019704460011166,0.00038081343321508834,-0.007400517623561101,0.015650155954062866,0.12451925377051033,226.66666666666666
