model,exercise,target,seed,split,metric,value
fact,deadlift,00110,7,test,exact_match,0.030303030303030304
fact,deadlift,11110,123,val,macro_f1,0.4929501172285552
fact,deadlift,11110,123,val,micro_f1,0.6220095693779905
fact,deadlift,11110,123,val,bit_accuracy,0.6961538461538461
fact,deadlift,11110,123,val,exact_match,0.11538461538461539
fact,deadlift,11110,123,test,macro_f1,0.524089068825911
fact,deadlift,11110,123,test,micro_f1,0.6885245901639344
fact,deadlift,11110,123,test,bit_accuracy,0.62
fact,deadlift,11110,123,test,exact_match,0.1
fact,deadlift,11110,42,val,macro_f1,0.4995484106686153
fact,deadlift,11110,42,val,micro_f1,0.6285714285714286
fact,deadlift,11110,42,val,bit_accuracy,0.7
fact,deadlift,11110,42,val,exact_match,0.1346153846153846
fact,deadlift,11110,42,test,macro_f1,0.39444444444444443
fact,deadlift,11110,42,test,micro_f1,0.5714285714285714
fact,deadlift,11110,42,test,bit_accuracy,0.52
fact,deadlift,11110,42,test,exact_match,0.0
fact,deadlift,11110,7,val,macro_f1,0.48294970161977835
fact,deadlift,11110,7,val,micro_f1,0.5888324873096447
fact,deadlift,11110,7,val,bit_accuracy,0.6884615384615385
fact,deadlift,11110,7,val,exact_match,0.1346153846153846
fact,deadlift,11110,7,test,macro_f1,0.2808080808080808
fact,deadlift,11110,7,test,micro_f1,0.43137254901960786
fact,deadlift,11110,7,test,bit_accuracy,0.42
fact,deadlift,11110,7,test,exact_match,0.0
fact,squat,000000,123,val,macro_f1,0.7077318760331904
fact,squat,000000,123,val,micro_f1,0.7874015748031497
fact,squat,000000,123,val,bit_accuracy,0.8333333333333334
fact,squat,000000,123,val,exact_match,0.4444444444444444
fact,squat,000000,123,test,macro_f1,0.0
fact,squat,000000,123,test,micro_f1,0.0
fact,squat,000000,123,test,bit_accuracy,0.6568627450980392
fact,squat,000000,123,test,exact_match,0.0
fact,squat,000000,42,val,macro_f1,0.6614242967434457
fact,squat,000000,42,val,micro_f1,0.754325259515571
fact,squat,000000,42,val,bit_accuracy,0.7808641975308642
fact,squat,000000,42,val,exact_match,0.18518518518518517
fact,squat,000000,42,test,macro_f1,0.0
fact,squat,000000,42,test,micro_f1,0.0
fact,squat,000000,42,test,bit_accuracy,0.5686274509803921
fact,squat,000000,42,test,exact_match,0.0
fact,squat,000000,7,val,macro_f1,0.635136272962808
fact,squat,000000,7,val,micro_f1,0.7472527472527473
fact,squat,000000,7,val,bit_accuracy,0.7870370370370371
fact,squat,000000,7,val,exact_match,0.2037037037037037
fact,squat,000000,7,test,macro_f1,0.0
fact,squat,000000,7,test,micro_f1,0.0
fact,squat,000000,7,test,bit_accuracy,0.5784313725490197
fact,squat,000000,7,test,exact_match,0.0
fact,squat,000001,123,val,macro_f1,0.6239456385682801
fact,squat,000001,123,val,micro_f1,0.6844444444444444
fact,squat,000001,123,val,bit_accuracy,0.7585034013605442
fact,squat,000001,123,val,exact_match,0.2857142857142857
fact,squat,000001,123,test,macro_f1,0.0676328502415459
fact,squat,000001,123,test,micro_f1,0.18666666666666668
fact,squat,000001,123,test,bit_accuracy,0.6303030303030303
fact,squat,000001,123,test,exact_match,0.0
fact,squat,000001,42,val,macro_f1,0.6316714150047482
fact,squat,000001,42,val,micro_f1,0.6666666666666666
fact,squat,000001,42,val,bit_accuracy,0.7312925170068028
fact,squat,000001,42,val,exact_match,0.1836734693877551
fact,squat,000001,42,test,macro_f1,0.1651376146788991
fact,squat,000001,42,test,micro_f1,0.5869565217391305
fact,squat,000001,42,test,bit_accuracy,0.7696969696969697
fact,squat,000001,42,test,exact_match,0.07272727272727272
fact,squat,000001,7,val,macro_f1,0.6782748670056499
fact,squat,000001,7,val,micro_f1,0.7301587301587301
fact,squat,000001,7,val,bit_accuracy,0.7687074829931972
fact,squat,000001,7,val,exact_match,0.2653061224489796
fact,squat,000001,7,test,macro_f1,0.13620071684587814
fact,squat,000001,7,test,micro_f1,0.40425531914893614
fact,squat,000001,7,test,bit_accuracy,0.6606060606060606
fact,squat,000001,7,test,exact_match,0.01818181818181818
fact,squat,000101,123,val,macro_f1,0.6158639025452378
fact,squat,000101,123,val,micro_f1,0.7068965517241379
fact,squat,000101,123,val,bit_accuracy,0.7901234567901234
fact,squat,000101,123,val,exact_match,0.2037037037037037
fact,squat,000101,123,test,macro_f1,0.24677419354838712
fact,squat,000101,123,test,micro_f1,0.72
fact,squat,000101,123,test,bit_accuracy,0.8409090909090909
fact,squat,000101,123,test,exact_match,0.13636363636363635
fact,squat,000101,42,val,macro_f1,0.586144555033444
fact,squat,000101,42,val,micro_f1,0.6635071090047393
fact,squat,000101,42,val,bit_accuracy,0.7808641975308642
fact,squat,000101,42,val,exact_match,0.16666666666666666
fact,squat,000101,42,test,macro_f1,0.19163292847503374
fact,squat,000101,42,test,micro_f1,0.5970149253731343
fact,squat,000101,42,test,bit_accuracy,0.7954545454545454
fact,squat,000101,42,test,exact_match,0.0
fact,squat,000101,7,val,macro_f1,0.6294852101303713
fact,squat,000101,7,val,micro_f1,0.7089552238805971
fact,squat,000101,7,val,bit_accuracy,0.7592592592592593
fact,squat,000101,7,val,exact_match,0.24074074074074073
fact,squat,000101,7,test,macro_f1,0.19999999999999998
