model,exercise,target,split,metric,value
gru,deadlift,00100,val,macro_f1,0.34702373738426867
gru,deadlift,00100,val,micro_f1,0.4773633176994522
gru,deadlift,00110,test,bit_accuracy,0.6969696969696969
gru,deadlift,00110,test,exact_match,0.12121212121212122
gru,deadlift,00110,test,macro_f1,0.287528600118764
gru,deadlift,00110,test,micro_f1,0.5995322178528285
gru,deadlift,00110,val,bit_accuracy,0.6138888888888889
gru,deadlift,00110,val,exact_match,0.07638888888888888
gru,deadlift,00110,val,macro_f1,0.362318257440633
gru,deadlift,00110,val,micro_f1,0.46034547152194216
gru,deadlift,11110,test,bit_accuracy,0.4666666666666666
gru,deadlift,11110,test,exact_match,0.0
gru,deadlift,11110,test,macro_f1,0.308095121253016
gru,deadlift,11110,test,micro_f1,0.48681955185140663
gru,deadlift,11110,val,bit_accuracy,0.6987179487179488
gru,deadlift,11110,val,exact_match,0.1794871794871795
gru,deadlift,11110,val,macro_f1,0.39783230717316914
gru,deadlift,11110,val,micro_f1,0.5875106695500844
gru,squat,000000,test,bit_accuracy,0.6274509803921569
gru,squat,000000,test,exact_match,0.0
gru,squat,000000,test,macro_f1,0.0
gru,squat,000000,test,micro_f1,0.0
gru,squat,000000,val,bit_accuracy,0.7119341563786007
gru,squat,000000,val,exact_match,0.19753086419753085
gru,squat,000000,val,macro_f1,0.5510193070038286
gru,squat,000000,val,micro_f1,0.6865716896077427
gru,squat,000001,test,bit_accuracy,0.6878787878787879
gru,squat,000001,test,exact_match,0.0
gru,squat,000001,test,macro_f1,0.1552950486911844
gru,squat,000001,test,micro_f1,0.48249350446931055
gru,squat,000001,val,bit_accuracy,0.6530612244897959
gru,squat,000001,val,exact_match,0.19047619047619047
gru,squat,000001,val,macro_f1,0.5339420482191336
gru,squat,000001,val,micro_f1,0.591753774680604
gru,squat,000101,test,bit_accuracy,0.702020202020202
gru,squat,000101,test,exact_match,0.07575757575757576
gru,squat,000101,test,macro_f1,0.2511433950293665
gru,squat,000101,test,micro_f1,0.5788190485531322
gru,squat,000101,val,bit_accuracy,0.6594650205761318
gru,squat,000101,val,exact_match,0.15432098765432098
gru,squat,000101,val,macro_f1,0.4688325256696107
gru,squat,000101,val,micro_f1,0.5748092528485728
gru,squat,010101,test,bit_accuracy,0.674074074074074
gru,squat,010101,test,exact_match,0.022222222222222223
gru,squat,010101,test,macro_f1,0.35904755955355655
gru,squat,010101,test,micro_f1,0.644327485380117
gru,squat,010101,val,bit_accuracy,0.6828282828282828
gru,squat,010101,val,exact_match,0.18787878787878787
gru,squat,010101,val,macro_f1,0.4970137645513166
gru,squat,010101,val,micro_f1,0.6059343542633516
gru,squat,100001,test,bit_accuracy,0.6047008547008547
gru,squat,100001,test,exact_match,0.0641025641025641
gru,squat,100001,test,macro_f1,0.2556936479679906
gru,squat,100001,test,micro_f1,0.5360896439776561
gru,squat,100001,val,bit_accuracy,0.6033333333333334
gru,squat,100001,val,exact_match,0.13333333333333333
gru,squat,100001,val,macro_f1,0.5001482263158769
gru,squat,100001,val,micro_f1,0.566179296772904
gru,squat,100101,test,bit_accuracy,0.6697530864197532
gru,squat,100101,test,exact_match,0.0
gru,squat,100101,test,macro_f1,0.3231256927161898
gru,squat,100101,test,micro_f1,0.6211667626175398
gru,squat,100101,val,bit_accuracy,0.7200000000000001
gru,squat,100101,val,exact_match,0.24666666666666667
gru,squat,100101,val,macro_f1,0.5677884759170462
gru,squat,100101,val,micro_f1,0.6412133845786376
gru,squat,101001,test,bit_accuracy,0.6644444444444445
gru,squat,101001,test,exact_match,0.02666666666666667
gru,squat,101001,test,macro_f1,0.30907365139958315
gru,squat,101001,test,micro_f1,0.6118523334107268
gru,squat,101001,val,bit_accuracy,0.6992330714552937
gru,squat,101001,val,exact_match,0.15230078563411895
gru,squat,101001,val,macro_f1,0.5064494601859865
gru,squat,101001,val,micro_f1,0.6225645082718986
ssm,deadlift,00000,test,bit_accuracy,0.6183574879227053
ssm,deadlift,00000,test,exact_match,0.004830917874396135
ssm,deadlift,00000,test,macro_f1,0.0
ssm,deadlift,00000,test,micro_f1,0.0
ssm,deadlift,00000,val,bit_accuracy,0.6921568627450979
ssm,deadlift,00000,val,exact_match,0.06862745098039215
ssm,deadlift,00000,val,macro_f1,0.5131148353189839
ssm,deadlift,00000,val,micro_f1,0.6123624823074176
ssm,deadlift,00010,test,bit_accuracy,0.5171717171717171
ssm,deadlift,00010,test,exact_match,0.020202020202020204
ssm,deadlift,00010,test,macro_f1,0.11185508424763657
ssm,deadlift,00010,test,micro_f1,0.24530265765906
ssm,deadlift,00010,val,bit_accuracy,0.582905982905983
ssm,deadlift,00010,val,exact_match,0.034188034188034185
ssm,deadlift,00010,val,macro_f1,0.3199409754592975
ssm,deadlift,00010,val,micro_f1,0.42983921405839215
ssm,deadlift,00100,test,bit_accuracy,0.5727272727272728
ssm,deadlift,00100,test,exact_match,0.0
ssm,deadlift,00100,test,macro_f1,0.1141304347826087
ssm,deadlift,00100,test,micro_f1,0.2813204010387109
ssm,deadlift,00100,val,bit_accuracy,0.6581560283687944
ssm,deadlift,00100,val,exact_match,0.07801418439716312
ssm,deadlift,00100,val,macro_f1,0.3493147642183756
ssm,deadlift,00100,val,micro_f1,0.4961718858678677
ssm,deadlift,00110,test,bit_accuracy,0.705050505050505
ssm,deadlift,00110,test,exact_match,0.11111111111111112
ssm,deadlift,00110,test,macro_f1,0.25493723544008173
ssm,deadlift,00110,test,micro_f1,0.5566032793755565
ssm,deadlift,00110,val,bit_accuracy,0.6291666666666665
ssm,deadlift,00110,val,exact_match,0.1527777777777778
ssm,deadlift,00110,val,macro_f1,0.34249275592132733
ssm,deadlift,00110,val,micro_f1,0.4319613072781537
ssm,deadlift,11110,test,bit_accuracy,0.3866666666666667
ssm,deadlift,11110,test,exact_match,0.0
ssm,deadlift,11110,test,macro_f1,0.22378376124506152
ssm,deadlift,11110,test,micro_f1,0.3530254206945936
ssm,deadlift,11110,val,bit_accuracy,0.673076923076923
ssm,deadlift,11110,val,exact_match,0.15384615384615385
ssm,deadlift,11110,val,macro_f1,0.3884758582658658
ssm,deadlift,11110,val,micro_f1,0.501159475797963
ssm,squat,000000,test,bit_accuracy,0.611111111111111
ssm,squat,000000,test,exact_match,0.0
ssm,squat,000000,test,macro_f1,0.0
ssm,squat,000000,test,micro_f1,0.0
ssm,squat,000000,val,bit_accuracy,0.6820987654320988
ssm,squat,000000,val,exact_match,0.16666666666666666
ssm,squat,000000,val,macro_f1,0.5365048139283646
ssm,squat,000000,val,micro_f1,0.6555469414201339
ssm,squat,000001,test,bit_accuracy,0.6171717171717171
ssm,squat,000001,test,exact_match,0.01818181818181818
ssm,squat,000001,test,macro_f1,0.15432098765432098
ssm,squat,000001,test,micro_f1,0.4476237106671889
ssm,squat,000001,val,bit_accuracy,0.6315192743764172
ssm,squat,000001,val,exact_match,0.10884353741496598
ssm,squat,000001,val,macro_f1,0.513609549294083
ssm,squat,000001,val,micro_f1,0.603129634123325
ssm,squat,000101,test,bit_accuracy,0.7070707070707071
ssm,squat,000101,test,exact_match,0.10606060606060606
ssm,squat,000101,test,macro_f1,0.2437494691898486
ssm,squat,000101,test,micro_f1,0.5817886309907586
ssm,squat,000101,val,bit_accuracy,0.661522633744856
ssm,squat,000101,val,exact_match,0.10493827160493825
ssm,squat,000101,val,macro_f1,0.48249203500369725
ssm,squat,000101,val,micro_f1,0.5945681993017339
ssm,squat,010101,test,bit_accuracy,0.725925925925926
ssm,squat,010101,test,exact_match,0.0
ssm,squat,010101,test,macro_f1,0.38556340564053815
ssm,squat,010101,test,micro_f1,0.7232272120317661
ssm,squat,010101,val,bit_accuracy,0.702020202020202
ssm,squat,010101,val,exact_match,0.2545454545454546
ssm,squat,010101,val,macro_f1,0.5059317330354086
ssm,squat,010101,val,micro_f1,0.6271069402153114
ssm,squat,100001,test,bit_accuracy,0.7126068376068376
ssm,squat,100001,test,exact_match,0.1217948717948718
ssm,squat,100001,test,macro_f1,0.2721876471067332
ssm,squat,100001,test,micro_f1,0.6208629024096909
ssm,squat,100001,val,bit_accuracy,0.6744444444444445
ssm,squat,100001,val,exact_match,0.12666666666666668
ssm,squat,100001,val,macro_f1,0.5223995132399136
ssm,squat,100001,val,micro_f1,0.6260615786117639
ssm,squat,100101,test,bit_accuracy,0.7037037037037037
ssm,squat,100101,test,exact_match,0.0
ssm,squat,100101,test,macro_f1,0.3121447972833488
ssm,squat,100101,test,micro_f1,0.6335968066389718
ssm,squat,100101,val,bit_accuracy,0.7399999999999999
ssm,squat,100101,val,exact_match,0.22666666666666668
ssm,squat,100101,val,macro_f1,0.5226464404589501
ssm,squat,100101,val,micro_f1,0.6252621656651348
ssm,squat,101001,test,bit_accuracy,0.6222222222222222
ssm,squat,101001,test,exact_match,0.02666666666666667
ssm,squat,101001,test,macro_f1,0.30378933723222484
ssm,squat,101001,test,micro_f1,0.57536632547504
ssm,squat,101001,val,bit_accuracy,0.6993265993265992
ssm,squat,101001,val,exact_match,0.23176206509539843
ssm,squat,101001,val,macro_f1,0.5135207667890673
ssm,squat,101001,val,micro_f1,0.6255646913541651
tcn,deadlift,00000,test,bit_accuracy,0.5594202898550725
tcn,deadlift,00000,test,exact_match,0.014492753623188406
tcn,deadlift,00000,test,macro_f1,0.0
tcn,deadlift,00000,test,micro_f1,0.0
tcn,deadlift,00000,val,bit_accuracy,0.680392156862745
tcn,deadlift,00000,val,exact_match,0.0196078431372549
tcn,deadlift,00000,val,macro_f1,0.5595215902075376
tcn,deadlift,00000,val,micro_f1,0.6200567503599922
tcn,deadlift,00010,test,bit_accuracy,0.5898989898989899
tcn,deadlift,00010,test,exact_match,0.010101010101010102
tcn,deadlift,00010,test,macro_f1,0.17967938586588394
tcn,deadlift,00010,test,micro_f1,0.44466338259441707
tcn,deadlift,00010,val,bit_accuracy,0.5162393162393163
tcn,deadlift,00010,val,exact_match,0.07692307692307693
tcn,deadlift,00010,val,macro_f1,0.37834578693106424
tcn,deadlift,00010,val,micro_f1,0.4212311643305795
tcn,deadlift,00100,test,bit_accuracy,0.5727272727272728
tcn,deadlift,00100,test,exact_match,0.0
tcn,deadlift,00100,test,macro_f1,0.09372549019607841
tcn,deadlift,00100,test,micro_f1,0.2220439586005399
tcn,deadlift,00100,val,bit_accuracy,0.6382978723404255
tcn,deadlift,00100,val,exact_match,0.05673758865248227
tcn,deadlift,00100,val,macro_f1,0.41477302592477244
tcn,deadlift,00100,val,micro_f1,0.46604383880892786
tcn,deadlift,00110,test,bit_accuracy,0.698989898989899
tcn,deadlift,00110,test,exact_match,0.010101010101010102
tcn,deadlift,00110,test,macro_f1,0.31263329263329265
tcn,deadlift,00110,test,micro_f1,0.6400054646213658
tcn,deadlift,00110,val,bit_accuracy,0.6166666666666667
tcn,deadlift,00110,val,exact_match,0.11805555555555557
tcn,deadlift,00110,val,macro_f1,0.37318532814520733
tcn,deadlift,00110,val,micro_f1,0.4447389237841781
tcn,deadlift,11110,test,bit_accuracy,0.4533333333333333
tcn,deadlift,11110,test,exact_match,0.0
tcn,deadlift,11110,test,macro_f1,0.32581321327451357
tcn,deadlift,11110,test,micro_f1,0.48015236842465847
tcn,deadlift,11110,val,bit_accuracy,0.7141025641025641
tcn,deadlift,11110,val,exact_match,0.14743589743589744
tcn,deadlift,11110,val,macro_f1,0.4355745164135654
tcn,deadlift,11110,val,micro_f1,0.582125829451397
tcn,squat,000000,test,bit_accuracy,0.5686274509803921
tcn,squat,000000,test,exact_match,0.0
tcn,squat,000000,test,macro_f1,0.0
tcn,squat,000000,test,micro_f1,0.0
tcn,squat,000000,val,bit_accuracy,0.647119341563786
tcn,squat,000000,val,exact_match,0.14814814814814814
tcn,squat,000000,val,macro_f1,0.5411684859273734
tcn,squat,000000,val,micro_f1,0.6482562439551687
tcn,squat,000001,test,bit_accuracy,0.6666666666666666
tcn,squat,000001,test,exact_match,0.0
tcn,squat,000001,test,macro_f1,0.15476949419904293
