model,exercise,target,condition,metric,value
gru,cpr,0000000100001,seen,exact_match,0.20000000000000004
gru,cpr,0000000100001,seen,macro_f1,0.11111111111111112
gru,cpr,0000000100001,seen,micro_f1,0.6
gru,cpr,0000000100001,unseen,bit_accuracy,0.7692307692307692
gru,cpr,0000000100001,unseen,exact_match,0.0
gru,cpr,0000000100001,unseen,macro_f1,0.07692307692307693
gru,cpr,0000000100001,unseen,micro_f1,0.41111111111111115
gru,cpr,0000000100010,seen,bit_accuracy,0.7948717948717948
gru,cpr,0000000100010,seen,exact_match,0.0
gru,cpr,0000000100010,seen,macro_f1,0.09157509157509158
gru,cpr,0000000100010,seen,micro_f1,0.47474747474747475
gru,cpr,0000000100010,unseen,bit_accuracy,0.8051282051282053
gru,cpr,0000000100010,unseen,exact_match,0.0
gru,cpr,0000000100010,unseen,macro_f1,0.07692307692307693
gru,cpr,0000000100010,unseen,micro_f1,0.4518518518518519
gru,cpr,0000000100100,seen,bit_accuracy,0.8153846153846155
gru,cpr,0000000100100,seen,exact_match,0.0
gru,cpr,0000000100100,seen,macro_f1,0.10826210826210825
gru,cpr,0000000100100,seen,micro_f1,0.5215320910973085
gru,cpr,0000000100100,unseen,bit_accuracy,0.7846153846153846
gru,cpr,0000000100100,unseen,exact_match,0.0
gru,cpr,0000000100100,unseen,macro_f1,0.07692307692307693
gru,cpr,0000000100100,unseen,micro_f1,0.4202686202686203
gru,cpr,0000000101000,seen,bit_accuracy,0.7974358974358974
gru,cpr,0000000101000,seen,exact_match,0.0
gru,cpr,0000000101000,seen,macro_f1,0.07692307692307693
gru,cpr,0000000101000,seen,micro_f1,0.432996632996633
gru,cpr,0000000101000,unseen,bit_accuracy,0.7538461538461538
gru,cpr,0000000101000,unseen,exact_match,0.0
gru,cpr,0000000101000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000000101000,unseen,micro_f1,0.3888888888888889
gru,cpr,0000000110000,seen,bit_accuracy,0.8666666666666667
gru,cpr,0000000110000,seen,exact_match,0.3333333333333333
gru,cpr,0000000110000,seen,macro_f1,0.12535612535612536
gru,cpr,0000000110000,seen,micro_f1,0.6735632183908047
gru,cpr,0000000110000,unseen,bit_accuracy,0.7615384615384615
gru,cpr,0000000110000,unseen,exact_match,0.0
gru,cpr,0000000110000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000000110000,unseen,micro_f1,0.43099415204678365
gru,cpr,0000001000000,seen,bit_accuracy,0.9243589743589743
gru,cpr,0000001000000,seen,exact_match,0.3833333333333333
gru,cpr,0000001000000,seen,macro_f1,0.07692307692307693
gru,cpr,0000001000000,seen,micro_f1,0.7021097046413503
gru,cpr,0000001000000,unseen,bit_accuracy,0.8794871794871795
gru,cpr,0000001000000,unseen,exact_match,0.21666666666666667
gru,cpr,0000001000000,unseen,macro_f1,0.07692307692307693
gru,cpr,0000001000000,unseen,micro_f1,0.6002542588354945
gru,cpr,0000001000001,seen,bit_accuracy,0.8794871794871795
gru,cpr,0000001000001,seen,exact_match,0.3333333333333333
